"group","longitude","latitude"
38,17.196387,61.724561
38,17.215625,61.656348
38,17.130762,61.575732
38,17.164258,61.458301
38,17.137988,61.381689
38,17.199609,61.311963
38,17.163867,61.278271
38,17.20293,60.951855
38,17.278906,60.812158
38,17.250977,60.700781
38,17.359863,60.64082
38,17.593066,60.627686
38,17.661133,60.535156
38,17.955762,60.589795
38,18.1625,60.40791
38,18.55752,60.253564
38,18.535449,60.152881
38,18.787012,60.079492
38,18.852734,60.025879
38,18.99043,59.827783
38,18.970508,59.757227
38,18.276465,59.437646
38,17.964258,59.359375
38,17.979785,59.329053
38,18.132617,59.316211
38,18.508887,59.407959
38,18.617578,59.327051
38,18.414258,59.290332
38,18.373047,59.179736
38,18.285352,59.109375
38,17.456738,58.858398
38,17.347656,58.780518
38,16.978125,58.65415
38,16.214258,58.63667
38,16.788477,58.585254
38,16.923828,58.492578
38,16.651953,58.434326
38,16.769922,58.214258
38,16.700098,58.160791
38,16.694922,57.917529
38,16.596973,57.912891
38,16.555371,57.812256
38,16.604199,57.568311
38,16.652246,57.500684
38,16.630859,57.430176
38,16.475977,57.265137
38,16.52793,57.068164
38,16.34873,56.709277
38,16.216504,56.58999
38,15.99668,56.222607
38,15.920313,56.167383
38,15.82666,56.124951
38,15.626563,56.185596
38,14.713965,56.134131
38,14.754785,56.033154
38,14.558594,56.048633
38,14.215039,55.832617
38,14.20293,55.72915
38,14.341699,55.527734
38,14.17373,55.396631
38,13.806348,55.428564
38,13.321387,55.346387
38,12.88584,55.411377
38,12.940625,55.481592
38,12.973926,55.748145
38,12.471191,56.290527
38,12.706348,56.23501
38,12.80166,56.263916
38,12.656445,56.440576
38,12.857422,56.452393
38,12.919531,56.515576
38,12.883691,56.617725
38,12.717578,56.662842
38,12.572656,56.823291
38,12.421484,56.906396
38,12.151855,57.226953
38,12.053223,57.446973
38,11.961523,57.426074
38,11.878711,57.679443
38,11.734961,57.717676
38,11.703223,57.973193
38,11.549023,58.001221
38,11.449316,58.118359
38,11.431543,58.33999
38,11.248242,58.369141
38,11.271582,58.475635
38,11.20791,58.866406
38,11.147168,58.988623
38,11.166895,59.045557
38,11.295313,59.086865
38,11.388281,59.036523
38,11.470703,58.909521
39,19.138379,57.860254
39,19.039258,57.911035
39,19.134863,57.981348
39,19.331445,57.962891
39,19.156348,57.922607
39,19.138379,57.860254
40,18.371875,59.01958
40,18.397559,59.089111
40,18.485547,59.10459
40,18.416211,59.029102
40,18.371875,59.01958
41,18.570312,59.437256
41,18.545117,59.477832
41,18.572363,59.52583
41,18.698438,59.534619
41,18.570312,59.437256
42,1.571191,38.658838
42,1.405762,38.670996
42,1.401953,38.711426
42,1.436328,38.768213
42,1.496875,38.711914
42,1.592676,38.701465
42,1.571191,38.658838
43,3.241113,39.756689
43,3.395898,39.777295
43,3.448926,39.76123
43,3.461816,39.697754
43,3.244727,39.386621
43,3.072852,39.30127
43,2.799805,39.385059
43,2.700586,39.542139
43,2.634082,39.556201
43,2.499512,39.477881
